Round,Bet,Total Bets,Profit/Loss
1,10,10,10
2,20,20,0
3,40,40,-20
4,80,80,-60
5,160,160,-140
6,320,320,-300
7,640,640,-620
8,10,1280,20
9,20,1290,10
10,10,1310,30
11,10,1320,40
12,20,1330,30
13,40,1350,10
14,10,1390,50
15,20,1400,40
16,40,1420,20
17,80,1460,-20
18,10,1540,60
19,20,1550,50
20,10,1570,70
21,10,1580,80
22,10,1590,90
23,20,1600,80
24,40,1620,60
25,10,1660,100
26,10,1670,110
27,20,1680,100
28,40,1700,80
29,80,1740,40
30,160,1820,-40
31,320,1980,-200
32,10,2300,120
33,10,2310,130
34,20,2320,120
35,10,2340,140
36,20,2350,130
37,40,2370,110
38,10,2410,150
39,10,2420,160
40,20,2430,150
41,40,2450,130
42,10,2490,170
43,20,2500,160
44,10,2520,180
45,20,2530,170
46,10,2550,190
47,20,2560,180
48,40,2580,160
49,10,2620,200
50,10,2630,210
51,20,2640,200
52,10,2660,220
53,20,2670,210
54,40,2690,190
55,80,2730,150
56,10,2810,230
57,10,2820,240
58,10,2830,250
59,10,2840,260
60,10,2850,270
61,20,2860,260
62,10,2880,280
63,20,2890,270
64,10,2910,290
65,10,2920,300
66,10,2930,310
67,10,2940,320
68,20,2950,310
69,40,2970,290
70,10,3010,330
71,20,3020,320
72,10,3040,340
73,10,3050,350
74,20,3060,340
75,10,3080,360
76,10,3090,370
77,20,3100,360
78,40,3120,340
79,80,3160,300
80,10,3240,380
81,10,3250,390
82,20,3260,380
83,40,3280,360
84,80,3320,320
85,10,3400,400
86,20,3410,390
87,40,3430,370
88,10,3470,410
89,10,3480,420
90,20,3490,410
91,10,3510,430
92,20,3520,420
93,40,3540,400
94,10,3580,440
95,20,3590,430
96,40,3610,410
97,80,3650,370
98,160,3730,290
99,10,3890,450
100,10,3900,460
101,10,3910,470
102,10,3920,480
103,20,3930,470
104,10,3950,490
105,10,3960,500
106,10,3970,510
107,10,3980,520
108,20,3990,510
109,40,4010,490
110,80,4050,450
111,160,4130,370
112,10,4290,530
113,10,4300,540
114,10,4310,550
115,10,4320,560
116,10,4330,570
117,20,4340,560
118,40,4360,540
119,80,4400,500
120,160,4480,420
121,320,4640,260
122,640,4960,-60
123,1280,5600,-700
124,2560,6880,-1980
125,5120,9440,-4540
126,10240,14560,-9660
127,20480,24800,-19900
128,10,45280,580
129,20,45290,570
130,40,45310,550
131,80,45350,510
132,160,45430,430
133,320,45590,270
134,10,45910,590
135,20,45920,580
136,10,45940,600
137,20,45950,590
138,10,45970,610
139,20,45980,600
140,10,46000,620
141,10,46010,630
142,20,46020,620
143,40,46040,600
144,10,46080,640
145,10,46090,650
146,10,46100,660
147,10,46110,670
148,10,46120,680
149,20,46130,670
150,40,46150,650
151,10,46190,690
152,20,46200,680
153,10,46220,700
154,10,46230,710
155,20,46240,700
156,10,46260,720
157,20,46270,710
158,40,46290,690
159,10,46330,730
160,20,46340,720
161,10,46360,740
162,20,46370,730
163,40,46390,710
164,80,46430,670
165,10,46510,750
166,10,46520,760
167,20,46530,750
168,10,46550,770
169,20,46560,760
170,40,46580,740
171,10,46620,780
172,20,46630,770
173,40,46650,750
174,80,46690,710
175,160,46770,630
176,10,46930,790
177,20,46940,780
178,40,46960,760
179,80,47000,720
180,160,47080,640
181,10,47240,800
182,10,47250,810
183,10,47260,820
184,20,47270,810
185,10,47290,830
186,20,47300,820
187,10,47320,840
188,20,47330,830
189,10,47350,850
190,10,47360,860
191,20,47370,850
192,40,47390,830
193,80,47430,790
194,160,47510,710
195,10,47670,870
196,20,47680,860
197,40,47700,840
198,10,47740,880
199,20,47750,870
200,40,47770,850
